UF,Municipio
AC,RIO BRANCO
AC,SENA MADUREIRA
AC,PORTO ACRE
AC,SENADOR GUIOMARD
AC,PLACIDO DE CASTRO
AC,CAPIXABA
AC,BUJARI
AC,ASSIS BRASIL
AC,EPITACIOLANDIA
AC,XAPURI
AC,BRASILEIA
AL,RIO LARGO
AL,CACIMBINHAS
AL,PILAR
AL,PORTO REAL DO COLEGIO
AL,ESTRELA DE ALAGOAS
AL,JUNQUEIRO
AL,PALMEIRA DOS INDIOS
AL,ATALAIA
AL,IBATEGUARA
AL,UNIAO DOS PALMARES
AL,BRANQUINHA
AL,AGUA BRANCA
AL,SANTANA DO IPANEMA
AL,JOAQUIM GOMES
AL,MARIBONDO
AL,CANAPI
AL,NOVO LINO
AL,TANQUE DARCA
AL,SATUBA
AL,SAO MIGUEL DOS CAMPOS
AL,FLEXEIRAS
AL,BELEM
AL,MURICI
AL,MARECHAL DEODORO
AL,SAO JOSE DA LAJE
AL,JEQUIA DA PRAIA
AL,SAO SEBASTIAO
AL,IGACI
AL,DELMIRO GOUVEIA
AL,MESSIAS
AL,PARICONHA
AL,MACEIO
AL,INHAPI
AL,TEOTONIO VILELA
AL,POCO DAS TRINCHEIRAS
AL,OURO BRANCO
AL,CAMPO ALEGRE
AL,SAO BRAS
AL,MARAVILHA
AL,CAJUEIRO
AL,COQUEIRO SECO
AM,MANAUS
AM,HUMAITA
AM,PRESIDENTE FIGUEIREDO
AM,CANUTAMA
AM,CAREIRO
AM,CAREIRO DA VARZEA
AM,BERURI
AP,MACAPA
AP,PORTO GRANDE
AP,OIAPOQUE
AP,TARTARUGALZINHO
AP,CALCOENE
AP,FERREIRA GOMES
AP,LARANJAL DO JARI
BA,RIO REAL
BA,AMELIA RODRIGUES
BA,FEIRA DE SANTANA
BA,MUCURI
BA,JEREMOABO
BA,GOVERNADOR MANGABEIRA
BA,VITORIA DA CONQUISTA
BA,SERRINHA
BA,PORTO SEGURO
BA,ITAJUIPE
BA,BARREIRAS
BA,TEIXEIRA DE FREITAS
BA,RIACHAO DO JACUIPE
BA,TEODORO SAMPAIO
BA,RIBEIRA DO POMBAL
BA,SEABRA
BA,OLIVEIRA DOS BREJINHOS
BA,CANDIDO SALES
BA,ITAMARAJU
BA,SALVADOR
